Product_Name,Product_Subcategory,Product_size,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Product_Weight,Product_price,desc
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,500GB HDD,Intel HD Graphics 620,No OS,1.86kg,20986,"HP , Notebook, 4GB RAM, 500GB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.86kg, Price ₹20986"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.86kg,18381,"HP , Notebook, 4GB RAM, 500GB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,1.86kg, Price ₹18381"
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16GB,256GB SSD,AMD Radeon Pro 555,macOS,1.83kg,130001,"Apple , Ultrabook, 16GB RAM, 256GB SSD, Intel Core i7 2.8GHz, AMD Radeon Pro 555,1.83kg, Price ₹130001"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,26581,"Dell , Notebook, 4GB RAM, 256GB SSD, Intel Core i3 6006U 2GHz, AMD Radeon R5 M430,2.2kg, Price ₹26581"
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8GB,256GB SSD,Intel HD Graphics 615,macOS,0.92kg,67260,"Apple , Ultrabook, 8GB RAM, 256GB SSD, Intel Core M m3 1.2GHz, Intel HD Graphics 615,0.92kg, Price ₹67260"
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8GB,256GB SSD,Intel Iris Plus Graphics 640,macOS,1.37kg,80908,"Apple , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 2.3GHz, Intel Iris Plus Graphics 640,1.37kg, Price ₹80908"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.2kg,39693,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, AMD Radeon R5 M430,2.2kg, Price ₹39693"
Apple,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16GB,512GB SSD,AMD Radeon Pro 560,macOS,1.83kg,152274,"Apple , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 2.9GHz, AMD Radeon Pro 560,1.83kg, Price ₹152274"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,26586,"Lenovo , Notebook, 8GB RAM, 1TB HDD, Intel Core i3 7100U 2.4GHz, Nvidia GeForce 940MX,2.2kg, Price ₹26586"
Dell,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD,Intel UHD Graphics 620,Windows 10,1.22kg,52161,"Dell , Ultrabook, 8GB RAM, 128GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.22kg, Price ₹52161"
Asus,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,0.98kg,10224,"Asus , Netbook, 2GB RAM, 32GB Flash Storage, Intel Atom x5-Z8350 1.44GHz, Intel HD Graphics 400,0.98kg, Price ₹10224"
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,53226,"Lenovo , Gaming, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 7300HQ 2.5GHz, Nvidia GeForce GTX 1050,2.5kg, Price ₹53226"
HP,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4GB,500GB HDD,AMD Radeon R2,No OS,1.86kg,13746,"HP , Notebook, 4GB RAM, 500GB HDD, AMD E-Series E2-9000e 1.5GHz, AMD Radeon R2,1.86kg, Price ₹13746"
Dell,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.62kg,43636,"Dell , 2 in 1 Convertible, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.62kg, Price ₹43636"
HP,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.91kg,35111,"HP , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, Intel HD Graphics 620,1.91kg, Price ₹35111"
Dell,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.3kg,22305,"Dell , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2.3kg, Price ₹22305"
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,128GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,58554,"Apple , Ultrabook, 8GB RAM, 128GB Flash Storage, Intel Core i5 1.6GHz, Intel HD Graphics 6000,1.35kg, Price ₹58554"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,42624,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, AMD Radeon 530,2.2kg, Price ₹42624"
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8GB,256GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,69157,"Dell , Ultrabook, 8GB RAM, 256GB SSD +  256GB SSD, Intel Core i7 8650U 1.9GHz, Intel UHD Graphics 620,1.88kg, Price ₹69157"
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,47738,"HP , Notebook, 8GB RAM, 1TB HDD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 930MX,2.5kg, Price ₹47738"
Chuwi,Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics,Windows 10,1.89kg,13053,"Chuwi , Notebook, 4GB RAM, 64GB Flash Storage, Intel Atom x5-Z8300 1.44GHz, Intel HD Graphics,1.89kg, Price ₹13053"
Asus,Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2GB,32GB Flash Storage,AMD Radeon R2,Windows 10,1.65kg,10602,"Asus , Notebook, 2GB RAM, 32GB Flash Storage, AMD E-Series E2-6110 1.5GHz, AMD Radeon R2,1.65kg, Price ₹10602"
HP,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.71kg,23389,"HP , Notebook, 4GB RAM, 500GB HDD, AMD A6-Series 9220 2.5GHz, AMD Radeon 530,2.71kg, Price ₹23389"
Dell,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,99580,"Dell , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.2kg, Price ₹99580"
Apple,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8GB,256GB Flash Storage,Intel HD Graphics 6000,Mac OS X,1.35kg,53173,"Apple , Ultrabook, 8GB RAM, 256GB Flash Storage, Intel Core i5 1.6GHz, Intel HD Graphics 6000,1.35kg, Price ₹53173"
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,64GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,13266,"Lenovo , Notebook, 4GB RAM, 64GB Flash Storage, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,1.44kg, Price ₹13266"
Acer,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2.1kg,19553,"Acer , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 7130U 2.7GHz, Intel HD Graphics 620,2.1kg, Price ₹19553"
Dell,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.8kg,52161,"Dell , Notebook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 8250U 1.6GHz, AMD Radeon 530,2.8kg, Price ₹52161"
HP,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.86kg,26037,"HP , Notebook, 4GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.86kg, Price ₹26037"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 930MX ,Windows 10,2.1kg,46833,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 930MX ,2.1kg, Price ₹46833"
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 620,Linux,2kg,20725,"Asus , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 620,2kg, Price ₹20725"
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.65kg,79866,"Dell , Gaming, 16GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1060,2.65kg, Price ₹79866"
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,1TB HDD,Nvidia GeForce 940MX,Linux,2.3kg,27864,"Asus , Notebook, 8GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce 940MX,2.3kg, Price ₹27864"
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.2kg,36336,"Acer , Notebook, 4GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,2.2kg, Price ₹36336"
Dell,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12GB,1TB HDD,Nvidia GeForce 150MX,Windows 10,2.77kg,53226,"Dell , 2 in 1 Convertible, 12GB RAM, 1TB HDD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 150MX,2.77kg, Price ₹53226"
Apple,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8GB,256GB SSD,Intel Iris Graphics 540,macOS,1.37kg,75604,"Apple , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 2.0GHz, Intel Iris Graphics 540,1.37kg, Price ₹75604"
Lenovo,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,No OS,2.2kg,19660,"Lenovo , Notebook, 4GB RAM, 128GB SSD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2.2kg, Price ₹19660"
Asus,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8GB,256GB SSD +  1TB HDD,AMD Radeon RX 580,Windows 10,3.2kg,69210,"Asus , Gaming, 8GB RAM, 256GB SSD +  1TB HDD, AMD Ryzen 1700 3GHz, AMD Radeon RX 580,3.2kg, Price ₹69210"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,AMD Radeon R5 M430,Windows 10,2.3kg,34045,"Dell , Notebook, 4GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, AMD Radeon R5 M430,2.3kg, Price ₹34045"
Asus,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,24828,"Asus , Notebook, 4GB RAM, 1TB HDD, Intel Pentium Quad Core N4200 1.1GHz, Nvidia GeForce 920MX,2.8kg, Price ₹24828"
Lenovo,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4GB,64GB Flash Storage,Intel HD Graphics 400,Android,0.69kg,16996,"Lenovo , 2 in 1 Convertible, 4GB RAM, 64GB Flash Storage, Intel Atom x5-Z8550 1.44GHz, Intel HD Graphics 400,0.69kg, Price ₹16996"
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,2.2kg,44808,"Acer , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, Nvidia GeForce MX150,2.2kg, Price ₹44808"
HP,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,256GB SSD,AMD Radeon R4 Graphics,Windows 10,1.86kg,21231,"HP , Notebook, 4GB RAM, 256GB SSD, AMD A6-Series 9220 2.5GHz, AMD Radeon R4 Graphics,1.86kg, Price ₹21231"
HP,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.49kg,58767,"HP , Notebook, 8GB RAM, 512GB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.49kg, Price ₹58767"
Acer,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.4kg,20459,"Acer , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 7100U 2.4GHz, Intel HD Graphics 620,2.4kg, Price ₹20459"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 520,Windows 10,2.13kg,40908,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, AMD Radeon 520,2.13kg, Price ₹40908"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.91kg,23389,"HP , Notebook, 4GB RAM, 128GB SSD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,1.91kg, Price ₹23389"
Asus,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,31232,"Asus , Notebook, 4GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2kg, Price ₹31232"
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.43kg,130482,"MSI , Gaming, 16GB RAM, 256GB SSD +  2TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1070,2.43kg, Price ₹130482"
Asus,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,256GB SSD,Intel HD Graphics 520,Linux,2kg,22111,"Asus , Notebook, 4GB RAM, 256GB SSD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2kg, Price ₹22111"
Dell,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16GB,256GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.8kg,69210,"Dell , Notebook, 16GB RAM, 256GB SSD +  2TB HDD, Intel Core i7 8550U 1.8GHz, AMD Radeon 530,2.8kg, Price ₹69210"
Dell,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.7kg,46833,"Dell , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.7kg, Price ₹46833"
Lenovo,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,No OS,1.7kg,31914,"Lenovo , Notebook, 8GB RAM, 256GB SSD, Intel Core i3 7130U 2.7GHz, Intel HD Graphics 620,1.7kg, Price ₹31914"
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,50136,"Asus , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.4kg, Price ₹50136"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.86kg,36763,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.86kg, Price ₹36763"
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,1.8kg,105654,"Asus , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,1.8kg, Price ₹105654"
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,23373,"HP , Notebook, 4GB RAM, 500GB HDD, Intel Core i3 6006U 2GHz, AMD Radeon 520,1.86kg, Price ₹23373"
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,32GB SSD,Intel HD Graphics 400,Windows 10,1.44kg,12201,"HP , Notebook, 4GB RAM, 32GB SSD, Intel Celeron Dual Core N3060 1.6GHz, Intel HD Graphics 400,1.44kg, Price ₹12201"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.9kg,29250,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.9kg, Price ₹29250"
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12GB,1TB HDD,Nvidia GeForce GTX 1050 Ti,Linux,3kg,50562,"Asus , Gaming, 12GB RAM, 1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,3kg, Price ₹50562"
Microsoft,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10 S,1.252kg,58021,"Microsoft , Ultrabook, 4GB RAM, 128GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.252kg, Price ₹58021"
Dell,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,1.4kg,50882,"Dell , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, AMD Radeon 530,1.4kg, Price ₹50882"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,46353,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, AMD Radeon 530,2.2kg, Price ₹46353"
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.7kg,58341,"MSI , Gaming, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 7300HQ 2.5GHz, Nvidia GeForce GTX 1050,2.7kg, Price ₹58341"
Acer,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.1kg,20725,"Acer , Notebook, 8GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2.1kg, Price ₹20725"
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,50562,"Asus , Gaming, 8GB RAM, 1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,2.2kg, Price ₹50562"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,No OS,2.2kg,27652,"Lenovo , Notebook, 8GB RAM, 2TB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2.2kg, Price ₹27652"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10,2.02kg,45554,"Dell , Notebook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,2.02kg, Price ₹45554"
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4GB,1TB HDD,Nvidia GeForce MX130,Windows 10,2.2kg,28238,"Acer , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 7130U 2.7GHz, Nvidia GeForce MX130,2.2kg, Price ₹28238"
HP,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 930MX,Windows 10,2.5kg,52054,"HP , Notebook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 930MX,2.5kg, Price ₹52054"
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,58403,"Dell , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,1.88kg, Price ₹58403"
Apple,Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8GB,512GB SSD,Intel HD Graphics 615,macOS,0.92kg,80452,"Apple , Ultrabook, 8GB RAM, 512GB SSD, Intel Core i5 1.3GHz, Intel HD Graphics 615,0.92kg, Price ₹80452"
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.63kg,45820,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel HD Graphics 620,1.63kg, Price ₹45820"
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4GB,128GB SSD,AMD R4 Graphics,Windows 10,2.2kg,21258,"Lenovo , Notebook, 4GB RAM, 128GB SSD, AMD A6-Series 9220 2.5GHz, AMD R4 Graphics,2.2kg, Price ₹21258"
Acer,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4GB,1TB HDD,AMD Radeon R5,Windows 10,2.1kg,21045,"Acer , Notebook, 4GB RAM, 1TB HDD, AMD A9-Series 9420 3GHz, AMD Radeon R5,2.1kg, Price ₹21045"
Dell,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.65kg,71874,"Dell , Gaming, 16GB RAM, 128GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.65kg, Price ₹71874"
HP,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 940MX,Windows 10,1.83kg,37242,"HP , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, Nvidia GeForce GTX 940MX,1.83kg, Price ₹37242"
